n,T,gtype,ttype,md,Avg BP Explored,Total BP,BP Explored (%),Geom Run-Time (%),Add Run-Time (ms),SP Run-Time (ms),Avg #Arcs in Soln,Avg #Subpaths in Soln,Avg DDD Run-Time (ms),Avg Enum Run-Time (ms),Run-Time (%),Iterations
30,20,2,1,0,248.7,553,44.9729,3.01882,196,1588.5,9,4.7,1875.8,574,326.794,141
30,20,2,2,0,265.3,553,47.9747,2.64537,200.1,1578.8,9,5.5,1873.9,668.3,280.398,132
30,20,3,1,0,177.3,553,32.0615,1.41896,151.6,606.3,6.7,3.8,869.8,588.8,147.724,92
30,20,3,2,0,188.8,553,34.141,1.28237,161,600.1,6.9,4.5,882.7,658.9,133.966,84
50,20,1,1,0,258.2,933,27.6742,1.5633,706.3,3422.4,7.6,3.9,4274.2,2455.7,174.052,119
50,20,1,2,0,257.2,933,27.567,1.28688,679.8,2911.9,7.5,4.9,3733.4,2692.5,138.659,101
50,20,2,1,0,364.4,933,39.0568,3.78874,579.8,8966.2,13,4.6,9727.5,2379.8,408.753,197
50,20,2,2,0,406.8,933,43.6013,4.07296,694,10473,13,5.9,11354.8,2593.8,437.767,201
50,20,3,1,0,277.2,933,29.7106,2.06269,713.7,5101.4,8.7,4.6,5942.2,2385.2,249.128,138
50,20,3,2,0,304,933,32.5831,2.00939,794.9,5930.3,8.6,4.9,6864.9,2623.6,261.66,137
