Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
0,0,933,628,0,0,8,3,0,2.02986
1,1,29,12,0,0,7,1,34,1.91238
1,0,933,200,0,0,7,1,0,1.91238
0,1,278,1402,81,1168,7,5,13,1.89856
0,0,933,651,0,0,7,5,0,1.89856
1,1,39,15,0,0,9,1,46,2.43267
1,0,933,189,0,0,9,1,0,2.43267
0,1,268,1298,26,1110,9,4,13,2.39766
0,0,933,703,0,0,9,4,0,2.39766
1,1,26,10,0,0,8,1,33,2.17613
1,0,933,194,0,0,8,1,0,2.1598
0,1,229,722,15,573,8,4,10,2.12632
0,0,933,622,0,0,8,4,0,2.12632
1,1,36,14,0,0,7,1,41,2.11865
1,0,933,196,0,0,7,1,0,2.11865
0,1,215,558,24,412,7,4,9,2.08913
0,0,933,621,0,0,7,4,0,2.08913
1,1,47,21,0,0,7,1,55,1.91926
1,0,933,211,0,0,7,1,0,1.91926
0,1,220,659,38,493,7,5,9,1.86549
0,0,933,641,0,0,7,5,0,1.86549
1,1,32,13,0,0,8,1,41,2.12172
1,0,933,195,0,0,8,1,0,2.12172
0,1,231,703,15,552,8,3,10,2.11347
0,0,933,563,0,0,8,3,0,2.11347
1,1,37,16,0,0,7,1,44,1.73461
1,0,933,187,0,0,7,1,0,1.73461
0,1,220,457,8,331,7,4,9,1.72768
0,0,933,465,0,0,7,4,0,1.72768
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,49,23,0,0,8,1,55,2.42227
1,0,933,215,0,0,8,1,0,2.42227
0,1,283,1060,21,869,8,5,12,2.30992
0,0,933,606,0,0,8,5,0,2.30992
1,1,42,17,0,0,7,1,48,2.22689
1,0,933,218,0,0,7,1,0,2.22689
0,1,226,793,43,626,7,5,8,2.16385
0,0,933,767,0,0,7,5,0,2.16385
1,1,35,13,0,0,7,1,40,2.15223
1,0,933,209,0,0,7,1,0,2.15223
0,1,366,2137,51,1855,7,4,17,2.091
0,0,933,689,0,0,7,4,0,2.091
1,1,58,22,0,0,7,1,72,2.02414
1,0,933,217,0,0,7,1,0,2.02414
0,1,226,585,10,443,7,5,8,1.95352
0,0,933,631,0,0,7,5,0,1.95352
1,1,54,22,0,0,9,1,68,2.58291
1,0,933,198,0,0,9,1,0,2.58291
0,1,280,1473,38,1268,9,6,12,2.49761
0,0,933,822,0,0,9,6,0,2.49761
1,1,49,20,0,0,8,1,57,2.31201
1,0,933,208,0,0,8,1,0,2.31201
0,1,271,1055,27,865,8,5,11,2.21487
0,0,933,681,0,0,8,5,0,2.21487
1,1,37,15,0,0,7,1,42,2.25315
1,0,933,209,0,0,7,1,0,2.25315
0,1,225,543,6,405,7,5,8,2.17188
0,0,933,598,0,0,7,5,0,2.17188
1,1,72,29,0,0,7,1,86,2.04912
1,0,933,212,0,0,7,1,0,2.04912
0,1,227,595,27,430,7,5,8,1.92283
0,0,933,688,0,0,7,5,0,1.92283
1,1,36,16,0,0,8,1,44,2.30056
1,0,933,267,0,0,8,1,0,2.25069
0,1,240,801,41,623,8,5,9,2.18
0,0,933,670,0,0,8,5,0,2.18
1,1,60,24,0,0,7,1,72,1.84026
1,0,933,201,0,0,7,1,0,1.84026
0,1,228,486,11,348,7,4,8,1.78528
0,0,933,512,0,0,7,4,0,1.78528
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,43,7,0,0,13,1,54,2.26999
1,0,933,105,0,0,13,1,0,2.26999
0,1,494,6090,59,5779,13,5,29,2.21773
0,0,933,773,0,0,13,5,0,2.21773
1,1,31,4,0,0,13,1,44,2.21904
1,0,933,106,0,0,13,1,0,2.21904
0,1,357,2530,24,2337,13,7,19,2.17712
0,0,933,727,0,0,13,7,0,2.17712
1,1,47,7,0,0,13,1,57,2.28623
1,0,933,104,0,0,13,1,0,2.28623
0,1,356,2145,12,1968,13,4,19,2.2539
0,0,933,510,0,0,13,4,0,2.2539
1,1,57,10,0,0,13,1,69,2.47179
1,0,933,105,0,0,13,1,0,2.47179
0,1,420,3238,1,3038,13,3,24,2.40469
0,0,933,762,0,0,13,3,0,2.40469
1,1,48,9,0,0,13,1,57,2.35614
1,0,933,111,0,0,13,1,0,2.35614
0,1,296,1349,0,1222,13,5,15,2.29575
0,0,933,571,0,0,13,5,0,2.29575
1,1,41,8,0,0,13,1,54,2.21192
1,0,933,105,0,0,13,1,0,2.21192
0,1,327,1648,3,1503,13,4,17,2.1711
0,0,933,539,0,0,13,4,0,2.1711
1,1,60,12,0,0,13,1,72,2.37727
1,0,933,101,0,0,13,1,0,2.37727
0,1,299,1141,0,1020,13,5,15,2.2951
0,0,933,583,0,0,13,5,0,2.2951
1,1,67,14,0,0,13,1,82,2.33061
1,0,933,115,0,0,13,1,0,2.33061
0,1,354,2180,1,2010,13,5,19,2.25429
0,0,933,574,0,0,13,5,0,2.25429
1,1,38,7,0,0,13,1,47,2.22543
1,0,933,103,0,0,13,1,0,2.22543
0,1,331,1844,9,1678,13,3,17,2.19357
0,0,933,545,0,0,13,3,0,2.19357
1,1,44,7,0,0,13,1,54,2.39742
1,0,933,101,0,0,13,1,0,2.39742
0,1,410,3254,8,3046,13,5,23,2.35131
0,0,933,506,0,0,13,5,0,2.35131
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,52,12,0,0,13,1,64,2.44634
1,0,933,120,0,0,13,1,0,2.44634
0,1,531,5513,38,5204,13,6,28,2.30268
0,0,933,691,0,0,13,6,0,2.30268
1,1,50,10,0,0,13,1,59,2.36951
1,0,933,128,0,0,13,1,0,2.36951
0,1,375,2700,12,2507,13,6,18,2.25812
0,0,933,681,0,0,13,6,0,2.25812
1,1,51,9,0,0,13,1,57,2.42695
1,0,933,119,0,0,13,1,0,2.42695
0,1,376,2358,0,2176,13,6,18,2.3398
0,0,933,620,0,0,13,6,0,2.3398
1,1,43,9,0,0,13,1,58,2.64633
1,0,933,124,0,0,13,1,0,2.63186
0,1,449,3583,16,3355,13,6,23,2.48555
0,0,933,776,0,0,13,6,0,2.48555
1,1,49,11,0,0,13,1,58,2.53697
1,0,933,110,0,0,13,1,0,2.53697
0,1,311,1336,3,1201,13,6,14,2.39392
0,0,933,551,0,0,13,6,0,2.39392
1,1,51,11,0,0,13,1,61,2.36796
1,0,933,110,0,0,13,1,0,2.36796
0,1,499,4648,23,4381,13,6,26,2.2613
0,0,933,698,0,0,13,6,0,2.2613
1,1,40,7,0,0,13,1,48,2.51497
1,0,933,109,0,0,13,1,0,2.51497
0,1,357,1776,1,1623,13,6,17,2.38454
0,0,933,522,0,0,13,6,0,2.38454
1,1,57,11,0,0,13,1,67,2.50678
1,0,933,108,0,0,13,1,0,2.50678
0,1,375,2106,0,1937,13,6,18,2.33941
0,0,933,757,0,0,13,6,0,2.33941
1,1,41,7,0,0,13,1,48,2.36558
1,0,933,139,0,0,13,1,0,2.36558
0,1,347,1577,1,1428,13,6,16,2.27346
0,0,933,538,0,0,13,6,0,2.27346
1,1,32,5,0,0,13,1,42,2.56122
1,0,933,109,0,0,13,1,0,2.56122
0,1,448,3298,0,3092,13,5,23,2.45006
0,0,933,722,0,0,13,5,0,2.45006
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,39,11,0,0,9,1,48,2.59431
1,0,933,170,0,0,9,1,0,2.59431
0,1,238,806,1,680,9,6,11,2.55842
0,0,933,482,0,0,9,6,0,2.55842
1,1,62,22,0,0,9,1,77,2.71468
1,0,933,172,0,0,9,1,0,2.71468
0,1,280,1255,4,1095,9,4,14,2.63161
0,0,933,619,0,0,9,4,0,2.63161
1,1,41,15,0,0,7,1,58,2.25967
1,0,933,166,0,0,7,1,0,2.25967
0,1,217,565,1,453,7,4,9,2.24636
0,0,933,538,0,0,7,4,0,2.24636
1,1,30,9,0,0,10,1,36,2.68893
1,0,933,158,0,0,10,1,0,2.68893
0,1,270,1217,3,1059,10,3,13,2.67259
0,0,933,667,0,0,10,3,0,2.67259
1,1,53,18,0,0,9,1,61,3.05615
1,0,933,177,0,0,9,1,0,3.05615
0,1,482,4752,47,4396,7,4,30,2.99655
0,0,933,585,0,0,7,4,0,2.99655
1,1,36,14,0,0,8,1,44,2.1946
1,0,933,171,0,0,8,1,0,2.1946
0,1,229,596,36,442,8,5,10,2.13535
0,0,933,387,0,0,8,5,0,2.13535
1,1,74,26,0,0,9,1,100,2.17339
1,0,933,182,0,0,9,1,0,2.17339
0,1,242,695,1,570,9,7,11,2.09856
0,0,933,480,0,0,9,7,0,2.09856
1,1,52,19,0,0,9,1,67,2.52173
1,0,933,162,0,0,9,1,0,2.52173
0,1,241,687,2,558,9,5,11,2.42694
0,0,933,445,0,0,9,5,0,2.42694
1,1,46,15,0,0,11,1,52,2.33363
1,0,933,154,0,0,11,1,0,2.33363
0,1,339,1930,2,1731,10,5,18,2.27137
0,0,933,595,0,0,10,5,0,2.27137
1,1,37,15,0,0,9,1,46,2.86219
1,0,933,162,0,0,9,1,0,2.83563
0,1,234,1029,32,868,9,3,11,2.74884
0,0,933,560,0,0,9,3,0,2.74884
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,32,10,0,0,9,1,36,2.74361
1,0,933,178,0,0,9,1,0,2.74361
0,1,248,737,1,605,9,6,10,2.64497
0,0,933,528,0,0,9,6,0,2.64497
1,1,39,13,0,0,9,1,46,2.88502
1,0,933,173,0,0,9,1,0,2.88502
0,1,292,1298,7,1121,8,4,13,2.72656
0,0,933,637,0,0,8,4,0,2.72656
1,1,47,17,0,0,7,1,52,2.35772
1,0,933,172,0,0,7,1,0,2.35772
0,1,225,603,2,483,7,5,8,2.31251
0,0,933,712,0,0,7,5,0,2.31251
1,1,20,7,0,0,10,1,24,2.76823
1,0,933,166,0,0,10,1,0,2.76823
0,1,263,971,10,819,10,5,11,2.73022
0,0,933,648,0,0,10,5,0,2.73022
1,1,45,17,0,0,8,1,53,3.17715
1,0,933,163,0,0,8,1,0,3.17715
0,1,570,6547,56,6113,8,5,33,3.12087
0,0,933,560,0,0,8,5,0,3.12087
1,1,44,15,0,0,8,1,57,2.34755
1,0,933,175,0,0,8,1,0,2.34755
0,1,240,459,1,338,7,4,9,2.20013
0,0,933,408,0,0,7,4,0,2.20013
1,1,55,18,0,0,9,1,60,2.31591
1,0,933,176,0,0,9,1,0,2.31591
0,1,256,731,2,596,9,5,10,2.16175
0,0,933,543,0,0,9,5,0,2.16175
1,1,33,14,0,0,9,1,41,2.68867
1,0,933,170,0,0,9,1,0,2.68867
0,1,295,1281,11,1096,9,4,13,2.50973
0,0,933,540,0,0,9,4,0,2.50973
1,1,52,17,0,0,11,1,58,2.45755
1,0,933,173,0,0,11,1,0,2.45755
0,1,406,2406,4,2159,10,6,20,2.35752
0,0,933,529,0,0,10,6,0,2.35752
1,1,45,15,0,0,9,1,51,3.06807
1,0,933,169,0,0,9,1,0,3.06807
0,1,245,859,2,726,9,5,10,2.85889
0,0,933,631,0,0,9,5,0,2.85889
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,38,59,0,0,6,1,47,2.54885
1,0,553,386,0,0,6,1,0,2.54885
0,1,157,836,197,555,6,3,8,2.48758
0,0,553,714,0,0,6,3,0,2.48758
1,1,31,40,0,0,5,1,37,2.36118
1,0,553,401,0,0,5,1,0,2.36118
0,1,147,701,202,419,5,5,7,2.31193
0,0,553,735,0,0,5,5,0,2.31193
1,1,33,35,0,0,4,1,40,1.8413
1,0,553,393,0,0,4,1,0,1.8413
0,1,132,374,129,156,4,3,6,1.80899
0,0,553,501,0,0,4,3,0,1.80899
1,1,35,46,0,0,5,1,40,2.24894
1,0,553,406,0,0,5,1,0,2.24894
0,1,186,1114,275,754,5,4,10,2.21313
0,0,553,710,0,0,5,4,0,2.21313
1,1,25,32,0,0,6,1,32,2.55988
1,0,553,403,0,0,6,1,0,2.55988
0,1,159,799,198,519,6,5,8,2.53945
0,0,553,695,0,0,6,5,0,2.53945
1,1,33,45,0,0,5,1,38,2.30737
1,0,553,492,0,0,5,1,0,2.30737
0,1,144,949,301,575,5,4,7,2.20669
0,0,553,896,0,0,5,4,0,2.20669
1,1,49,84,0,0,4,1,62,2.09539
1,0,553,430,0,0,4,1,0,2.09539
0,1,132,487,179,230,4,3,6,2.04491
0,0,553,745,0,0,4,3,0,2.04491
1,1,23,42,0,0,5,1,27,2.36355
1,0,553,527,0,0,5,1,0,2.36355
0,1,147,1045,274,691,5,3,7,2.33786
0,0,553,1032,0,0,5,3,0,2.33786
1,1,19,35,0,0,6,1,25,2.43536
1,0,553,542,0,0,6,1,0,2.43536
0,1,161,1373,364,933,6,4,8,2.42104
0,0,553,1073,0,0,6,4,0,2.42104
1,1,40,62,0,0,5,1,50,2.40756
1,0,553,442,0,0,5,1,0,2.40756
0,1,145,757,220,464,5,4,7,2.33111
0,0,553,746,0,0,5,4,0,2.33111
Is MD?,Is DDD?,BP Explored,Run-Time,Add Run-Time,SP Run-Time,#Arcs in Soln,#Subpaths in Soln,Iterations,Opt Obj
1,1,34,42,0,0,6,1,39,2.73826
1,0,553,431,0,0,6,1,0,2.73826
0,1,164,906,204,606,6,4,7,2.59423
0,0,553,903,0,0,6,4,0,2.59423
1,1,47,69,0,0,5,1,59,2.50765
1,0,553,512,0,0,5,1,0,2.50765
0,1,151,743,211,458,5,5,6,2.36263
0,0,553,767,0,0,5,5,0,2.36263
1,1,25,27,0,0,4,1,33,2.01263
1,0,553,450,0,0,4,1,0,2.01263
0,1,139,389,151,153,4,4,5,1.8608
0,0,553,556,0,0,4,4,0,1.8608
1,1,22,29,0,0,5,1,28,2.42415
1,0,553,439,0,0,5,1,0,2.39297
0,1,152,662,202,385,5,4,6,2.27137
0,0,553,745,0,0,5,4,0,2.27137
1,1,29,36,0,0,6,1,34,2.68527
1,0,553,398,0,0,6,1,0,2.68527
0,1,165,812,199,518,6,5,7,2.63719
0,0,553,775,0,0,6,5,0,2.63719
1,1,44,57,0,0,5,1,53,2.49316
1,0,553,420,0,0,5,1,0,2.49316
0,1,153,726,232,425,5,4,6,2.25546
0,0,553,829,0,0,5,4,0,2.25546
1,1,25,42,0,0,4,1,29,2.25255
1,0,553,481,0,0,4,1,0,2.25255
